id,author_id,text,created_at,like_count,retweet_count,reply_count,impression_count,quote_count
1618397826647748608,1564009983858987009,oh yeah forgot about this #artistsontwitter #thelastofus  #thelastofusHBO  #JOELMILLER  #elliewilliams https://t.co/RnIBLfwcCW,2023-01-25 23:58:04+00:00,3,0,0,41,0
1618397354243272704,1309227991503966216,Epic Moment #TheLastOfUs #TheLastOfUsHBO https://t.co/5EXBzBrSDa,2023-01-25 23:56:12+00:00,0,0,0,17,0
1618394391646965760,1584251195891519488,"Still reeling from Episode 2 of The Last of Us! Follow my series on Medium in which I break down key differences between the game and the show, week-by-week: https://t.co/96kNGQ8I6f #TheLastOfUs #TheLastOfUsHBO",2023-01-25 23:44:25+00:00,1,0,0,33,0
1618393857556910080,740645521031868416,"Sneak peek/process of some Last of Us art im working on 🍄🦠

@TheLastofUsHBO #TheLastOfUs #TheLastOfUsHBO #TLOS #sketch #digitalart #HBD https://t.co/epiqbSVLTx https://t.co/j09ZxSoAS6",2023-01-25 23:42:18+00:00,1,0,0,72,1
1618392314338238464,1564009983858987009,"been loving the last of us series so here's a few drawings
#artistsontwitter #thelastofus #thelastofusHBO #JOELMILLER  #elliewilliams https://t.co/gJ8nzSiCwA",2023-01-25 23:36:10+00:00,2,2,1,90,0
1618391463036870656,1583564302707003392,How Pedro and Bella reacted to the clickers #tlou #thelastofus #thelastofushbo #shorts https://t.co/bmhQd2oW1W,2023-01-25 23:32:47+00:00,0,0,0,3,0
1618390412858920960,801817681,Finally getting a chance to watch #TheLastOfUs #TheLastOfUsHBO,2023-01-25 23:28:37+00:00,1,0,0,31,0
1618388114858467330,1225576948551712768,"This weeks episode of #TheLastOfUs had one of the WILDEST endings in recent memory. What was your reaction to THAT scene?! #TheLastOfUsHBO

Here’s our reaction to that Tess moment. We’re LIVE every Tuesday breaking down the episodes! https://t.co/YrezCpI91J",2023-01-25 23:19:29+00:00,7,2,1,437,0
1618387914668511232,4876810634,https://t.co/lfmLd85Jxs The last of us. Primer episodio. #TheLastOfUs #TheLastOfUsHBO #JOELMILLER #elliewilliams #neildruckmann #craigmazin https://t.co/JJmBjk2y5J,2023-01-25 23:18:41+00:00,0,0,0,39,0
1618387185660723201,1450138218272329729,Been watching @TheLastofUsHBO and it is one of the best live action shows I’ve seen in awhile!! Enjoy a little Ellie doodle i did in class! #TheLastOfUs #TheLastOfUsHBO https://t.co/kcuMdV1wxo,2023-01-25 23:15:47+00:00,7,2,1,152,0
